"SITE_TRANS","YEAR","siteID","yrID"
"NAPL_8",2013,30,14
"SCDI_2",2013,31,14
"SCDI_3",2013,32,14
"SCTW_2",2013,33,14
"SCTW_3",2013,34,14
"ABUR_1",2014,1,15
"ABUR_2",2014,2,15
"AQUE_1",2014,3,15
"AQUE_2",2014,4,15
"AQUE_3",2014,5,15
"AQUE_4",2014,6,15
"AQUE_5",2014,7,15
"AQUE_6",2014,8,15
"BULL_1",2014,9,15
"BULL_3",2014,10,15
"BULL_6",2014,11,15
"GOLB_1",2014,12,15
"GOLB_2",2014,13,15
"IVEE_1",2014,14,15
"IVEE_2",2014,15,15
"IVEE_3",2014,16,15
"IVEE_5",2014,17,15
"IVEE_6",2014,18,15
"IVEE_7",2014,19,15
"IVEE_8",2014,20,15
"MOHK_1",2014,21,15
"MOHK_2",2014,22,15
"NAPL_1",2014,23,15
"NAPL_2",2014,24,15
"NAPL_3",2014,25,15
"NAPL_4",2014,26,15
"NAPL_5",2014,27,15
"NAPL_6",2014,28,15
"NAPL_7",2014,29,15
"NAPL_8",2014,30,15
"SCDI_2",2014,31,15
"SCDI_3",2014,32,15
"SCTW_2",2014,33,15
"SCTW_3",2014,34,15
"ABUR_1",2015,1,16
"ABUR_2",2015,2,16
"AQUE_1",2015,3,16
"AQUE_2",2015,4,16
"AQUE_3",2015,5,16
"AQUE_4",2015,6,16
"AQUE_5",2015,7,16
"AQUE_6",2015,8,16
"BULL_1",2015,9,16
"BULL_3",2015,10,16
"BULL_6",2015,11,16
"GOLB_1",2015,12,16
"GOLB_2",2015,13,16
"IVEE_1",2015,14,16
"IVEE_2",2015,15,16
"IVEE_3",2015,16,16
"IVEE_5",2015,17,16
"IVEE_6",2015,18,16
"IVEE_7",2015,19,16
"IVEE_8",2015,20,16
"MOHK_1",2015,21,16
"MOHK_2",2015,22,16
"NAPL_1",2015,23,16
"NAPL_2",2015,24,16
"NAPL_3",2015,25,16
"NAPL_4",2015,26,16
"NAPL_5",2015,27,16
"NAPL_6",2015,28,16
"NAPL_7",2015,29,16
"NAPL_8",2015,30,16
"SCDI_2",2015,31,16
"SCDI_3",2015,32,16
"SCTW_2",2015,33,16
"SCTW_3",2015,34,16
"ABUR_1",2016,1,17
"ABUR_2",2016,2,17
"AQUE_1",2016,3,17
"AQUE_2",2016,4,17
"AQUE_3",2016,5,17
"AQUE_4",2016,6,17
"AQUE_5",2016,7,17
"AQUE_6",2016,8,17
"BULL_1",2016,9,17
"BULL_3",2016,10,17
"BULL_6",2016,11,17
"GOLB_1",2016,12,17
"GOLB_2",2016,13,17
"IVEE_1",2016,14,17
"IVEE_2",2016,15,17
"IVEE_3",2016,16,17
"IVEE_5",2016,17,17
"IVEE_6",2016,18,17
"IVEE_7",2016,19,17
"IVEE_8",2016,20,17
"MOHK_1",2016,21,17
"MOHK_2",2016,22,17
"NAPL_1",2016,23,17
"NAPL_2",2016,24,17
"NAPL_3",2016,25,17
"NAPL_4",2016,26,17
"NAPL_5",2016,27,17
"NAPL_6",2016,28,17
"NAPL_7",2016,29,17
"NAPL_8",2016,30,17
"SCDI_2",2016,31,17
"SCDI_3",2016,32,17
"SCTW_2",2016,33,17
"SCTW_3",2016,34,17
"ABUR_1",2017,1,18
"ABUR_2",2017,2,18
"AQUE_1",2017,3,18
"AQUE_2",2017,4,18
"AQUE_3",2017,5,18
"AQUE_4",2017,6,18
"AQUE_5",2017,7,18
"AQUE_6",2017,8,18
"BULL_1",2017,9,18
"BULL_3",2017,10,18
"BULL_6",2017,11,18
"GOLB_1",2017,12,18
"GOLB_2",2017,13,18
"IVEE_1",2017,14,18
"IVEE_2",2017,15,18
"IVEE_3",2017,16,18
"IVEE_5",2017,17,18
"IVEE_6",2017,18,18
"IVEE_7",2017,19,18
"IVEE_8",2017,20,18
"MOHK_1",2017,21,18
"MOHK_2",2017,22,18
"NAPL_1",2017,23,18
"NAPL_2",2017,24,18
"NAPL_3",2017,25,18
"NAPL_4",2017,26,18
"NAPL_5",2017,27,18
"NAPL_6",2017,28,18
"NAPL_7",2017,29,18
"NAPL_8",2017,30,18
"SCDI_2",2017,31,18
"SCDI_3",2017,32,18
"SCTW_2",2017,33,18
"SCTW_3",2017,34,18
"ABUR_1",2018,1,19
"ABUR_2",2018,2,19
"AQUE_1",2018,3,19
"AQUE_2",2018,4,19
"AQUE_3",2018,5,19
"AQUE_4",2018,6,19
"AQUE_5",2018,7,19
"AQUE_6",2018,8,19
"GOLB_1",2018,12,19
"GOLB_2",2018,13,19
"IVEE_1",2018,14,19
"IVEE_2",2018,15,19
"IVEE_3",2018,16,19
"IVEE_5",2018,17,19
"IVEE_6",2018,18,19
"IVEE_7",2018,19,19
"IVEE_8",2018,20,19
"MOHK_1",2018,21,19
"MOHK_2",2018,22,19
"NAPL_1",2018,23,19
"NAPL_2",2018,24,19
"NAPL_3",2018,25,19
"NAPL_4",2018,26,19
"NAPL_5",2018,27,19
"NAPL_6",2018,28,19
"NAPL_7",2018,29,19
"NAPL_8",2018,30,19
"SCDI_2",2018,31,19
"SCDI_3",2018,32,19
"SCTW_2",2018,33,19
"SCTW_3",2018,34,19
"ABUR_1",2019,1,20
"ABUR_2",2019,2,20
"AQUE_1",2019,3,20
"AQUE_2",2019,4,20
"AQUE_3",2019,5,20
"AQUE_4",2019,6,20
"AQUE_5",2019,7,20
"AQUE_6",2019,8,20
"BULL_1",2019,9,20
"BULL_3",2019,10,20
"BULL_6",2019,11,20
"GOLB_1",2019,12,20
"GOLB_2",2019,13,20
"IVEE_1",2019,14,20
"IVEE_2",2019,15,20
"IVEE_3",2019,16,20
"IVEE_5",2019,17,20
"IVEE_6",2019,18,20
"IVEE_7",2019,19,20
"IVEE_8",2019,20,20
"MOHK_1",2019,21,20
"MOHK_2",2019,22,20
"NAPL_1",2019,23,20
"NAPL_2",2019,24,20
"NAPL_3",2019,25,20
"NAPL_4",2019,26,20
"NAPL_5",2019,27,20
"NAPL_6",2019,28,20
"NAPL_7",2019,29,20
"NAPL_8",2019,30,20
"SCDI_2",2019,31,20
"SCDI_3",2019,32,20
"SCTW_2",2019,33,20
"SCTW_3",2019,34,20
"ABUR_1",2020,1,21
"ABUR_2",2020,2,21
"AQUE_1",2020,3,21
"AQUE_2",2020,4,21
"AQUE_3",2020,5,21
"AQUE_4",2020,6,21
"AQUE_5",2020,7,21
"AQUE_6",2020,8,21
"BULL_1",2020,9,21
"BULL_3",2020,10,21
"BULL_6",2020,11,21
"GOLB_1",2020,12,21
"GOLB_2",2020,13,21
"IVEE_1",2020,14,21
"IVEE_2",2020,15,21
